updated_species_id,updated_compound_id,charge,value,name of file,data type,original order,old_compound_id,old_species_id
CHB_88374_0,CHB_88374,0,733.53888,335_Cp,Cp,1532,CHB_88374,CHB_88374_0
PBC_11582_0,PBC_11582,0,820.14768,336_Cp,Cp,1533,PBC_11582,PBC_11582_0
CHB_88849_0,CHB_88849,0,906.75648,337_Cp,Cp,1534,CHB_88849,CHB_88849_0
PBC_18591_0,PBC_18591,0,993.36528,338_Cp,Cp,1535,PBC_18591,PBC_18591_0
CHB_45422_0,CHB_45422,0,256,339_Cp,Cp,1536,CHB_45422,CHB_45422_0
CHB_50724_0,CHB_50724,0,343.67376,340_Cp,Cp,1537,CHB_50724,CHB_50724_0
PBC_12332_0,PBC_12332,0,516.89136,341_Cp,Cp,1538,PBC_12332,PBC_12332_0
PBC_136449_0,PBC_136449,0,603.50016,342_Cp,Cp,1539,PBC_136449,PBC_136449_0
PBC_69414_0,PBC_69414,0,690.10896,343_Cp,Cp,1540,PBC_69414,PBC_69414_0
CHB_27869_0,CHB_27869,0,184.9328,344_Cp,Cp,1541,CHB_27869,CHB_27869_0
CHB_27869_-1,CHB_27869,-1,38.9112,345_Cp,Cp,1542,CHB_27869,CHB_27869_-1
CHB_37580_0,CHB_37580,0,176.5648,346_Cp,Cp,1543,CHB_37580,CHB_37580_0
PBC_6577_0,PBC_6577,0,191.6272,347_Cp,Cp,1544,PBC_6577,PBC_6577_0
PBC_6420_0,PBC_6420,0,221.752,348_Cp,Cp,1545,PBC_6420,PBC_6420_0
PBC_6343_0,PBC_6343,0,334.3016,349_Cp,Cp,1546,PBC_6343,PBC_6343_0
PBC_8012_0,PBC_8012,0,511.7032,350_Cp,Cp,1547,PBC_8012,PBC_8012_0
PBC_8067_0,PBC_8067,0,600.404,351_Cp,Cp,1548,PBC_8067,PBC_8067_0
PBC_8106_0,PBC_8106,0,689.1048,352_Cp,Cp,1549,PBC_8106,PBC_8106_0
PBC_15422_0,PBC_15422,0,777.8056,353_Cp,Cp,1550,PBC_15422,PBC_15422_0
PBC_8144_0,PBC_8144,0,866.5064,354_Cp,Cp,1551,PBC_8144,PBC_8144_0
PBC_15077_0,PBC_15077,0,955.2072,355_Cp,Cp,1552,PBC_15077,PBC_15077_0
PBC_8917_0,PBC_8917,0,1043.908,356_Cp,Cp,1553,PBC_8917,PBC_8917_0
PBC_62570_0,PBC_62570,0,1132.6088,357_Cp,Cp,1554,PBC_62570,PBC_62570_0
PBC_8195_0,PBC_8195,0,1221.3096,358_Cp,Cp,1555,PBC_8195,PBC_8195_0
CHB_29005_0,CHB_29005,0,516,359_Cp,Cp,1556,CHB_29005,CHB_29005_0
CHB_27750_0,CHB_27750,0,397,360_Cp,Cp,1557,CHB_27750,CHB_27750_0
CHB_17170_0,CHB_17170,0,260,361_Cp,Cp,1558,CHB_17170,CHB_17170_0
CHB_85259_0,CHB_85259,0,486,362_Cp,Cp,1559,CHB_85259,CHB_85259_0
CHB_35026_0,CHB_35026,0,600,363_Cp,Cp,1560,CHB_35026,CHB_35026_0
CHB_45895_0,CHB_45895,0,464,364_Cp,Cp,1561,CHB_45895,CHB_45895_0
CHB_271436_0,CHB_271436,0,373,365_Cp,Cp,1562,CHB_271436,CHB_271436_0
CHB_7438_0,CHB_7438,0,163,366_Cp,Cp,1563,CHB_7438,CHB_7438_0
CHB_87321_0,CHB_87321,0,258,367_Cp,Cp,1564,CHB_87321,CHB_87321_0
CHB_4519_0,CHB_4519,0,327,368_Cp,Cp,1565,CHB_4519,CHB_4519_0
CHB_16199_0,CHB_16199,0,89,369_Cp,Cp,1566,CHB_16199,CHB_16199_0
CHB_28826_0,CHB_28826,0,188.6984,370_Cp,Cp,1567,CHB_28826,CHB_28826_0
CHB_38825_0,CHB_38825,0,440.9936,371_Cp,Cp,1568,CHB_38825,CHB_38825_0
CHB_16227_0,CHB_16227,0,306,372_Cp,Cp,1569,CHB_16227,CHB_16227_0
CHB_41189_0,CHB_41189,0,347,373_Cp,Cp,1570,CHB_41189,CHB_41189_0
CHB_16958_0,CHB_16958,0,76,374_Cp,Cp,1571,CHB_16958,CHB_16958_0
CHB_16761_0,CHB_16761,0,708.60224,375_Cp,Cp,1572,CHB_16761,CHB_16761_0
CHB_16761_-1,CHB_16761,-1,570.6976,376_Cp,Cp,1573,CHB_16761,CHB_16761_-1
CHB_17659_0,CHB_17659,0,601.95208,377_Cp,Cp,1574,CHB_17659,CHB_17659_0
CHB_17659_-1,CHB_17659,-1,464.04744,378_Cp,Cp,1575,CHB_17659,CHB_17659_-1
CHB_17552_0,CHB_17552,0,726.67712,379_Cp,Cp,1576,CHB_17552,CHB_17552_0
CHB_17552_-1,CHB_17552,-1,588.81432,380_Cp,Cp,1577,CHB_17552,CHB_17552_-1
CHB_17239_0,CHB_17239,0,608.01888,381_Cp,Cp,1578,CHB_17239,CHB_17239_0
CHB_17239_-1,CHB_17239,-1,470.32344,382_Cp,Cp,1579,CHB_17239,CHB_17239_-1
CHB_16174_0,CHB_16174,0,672.20144,383_Cp,Cp,1580,CHB_16174,CHB_16174_0
CHB_16174_-1,CHB_16174,-1,534.38048,384_Cp,Cp,1581,CHB_16174,CHB_16174_-1
CHB_28862_0,CHB_28862,0,687.34752,385_Cp,Cp,1582,CHB_28862,CHB_28862_0
CHB_28862_-1,CHB_28862,-1,549.48472,386_Cp,Cp,1583,CHB_28862,CHB_28862_-1
CHB_18075_0,CHB_18075,0,630.90536,387_Cp,Cp,1584,CHB_18075,CHB_18075_0
CHB_18075_-1,CHB_18075,-1,492.91704,388_Cp,Cp,1585,CHB_18075,CHB_18075_-1
CHB_28846_0,CHB_28846,0,568.64744,389_Cp,Cp,1586,CHB_28846,CHB_28846_0
CHB_28846_-1,CHB_28846,-1,434.34104,390_Cp,Cp,1587,CHB_28846,CHB_28846_-1
CHB_28850_0,CHB_28850,0,565.00736,391_Cp,Cp,1588,CHB_28850,CHB_28850_0
CHB_28850_-1,CHB_28850,-1,427.10272,392_Cp,Cp,1589,CHB_28850,CHB_28850_-1
CHB_29027_0,CHB_29027,0,397.48,393_Cp,Cp,1590,CHB_29027,CHB_29027_0
CHB_15740_0,CHB_15740,0,95.3952,394_Cp,Cp,1591,CHB_15740,CHB_15740_0
CHB_30769_0,CHB_30769,0,472.70832,395_Cp,Cp,1592,CHB_30769,CHB_30769_0
CHB_30769_-1,CHB_30769,-1,428.77632,396_Cp,Cp,1593,CHB_30769,CHB_30769_-1
CHB_30769_-2,CHB_30769,-2,381.07872,397_Cp,Cp,1594,CHB_30769,CHB_30769_-2
CHB_30769_-3,CHB_30769,-3,309.95072,398_Cp,Cp,1595,CHB_30769,CHB_30769_-3
CHB_16977_-1,CHB_16977,-1,74.4752,399_Cp,Cp,1596,CHB_16977,CHB_16977_-1
PBC_10687_0,PBC_10687,0,515.0504,400_Cp,Cp,1597,PBC_10687,PBC_10687_0
PBC_7267_0,PBC_7267,0,540.1544,401_Cp,Cp,1598,PBC_7267,PBC_7267_0
PBC_11335_0,PBC_11335,0,497.0592,402_Cp,Cp,1599,PBC_11335,PBC_11335_0
CHB_39839_0,CHB_39839,0,472.3736,403_Cp,Cp,1600,CHB_39839,CHB_39839_0
CHB_38572_0,CHB_38572,0,507.5192,404_Cp,Cp,1601,CHB_38572,CHB_38572_0
CHB_16474_-3,CHB_16474,-3,-4288290,1_dH,dH_f,2045,CHB_16474,CHB_16474_-3
CHB_16474_-4,CHB_16474,-4,-4284090,2_dH,dH_f,2046,CHB_16474,CHB_16474_-4
CHB_16474_-2,CHB_16474,-2,-4280340,3_dH,dH_f,2047,CHB_16474,CHB_16474_-2
CHB_16474_-1,CHB_16474,-1,-4278250,4_dH,dH_f,2048,CHB_16474,CHB_16474_-1
CHB_16474_0,CHB_16474,0,-4270300,5_dH,dH_f,2049,CHB_16474,CHB_16474_0
CHB_18009_-2,CHB_18009,-2,-4253740,6_dH,dH_f,2050,CHB_18009,CHB_18009_-2
CHB_18009_-3,CHB_18009,-3,-4249530,7_dH,dH_f,2051,CHB_18009,CHB_18009_-3
CHB_18009_-1,CHB_18009,-1,-4245790,8_dH,dH_f,2052,CHB_18009,CHB_18009_-1
CHB_18009_0,CHB_18009,0,-4243700,9_dH,dH_f,2053,CHB_18009,CHB_18009_0
CHB_18009_1,CHB_18009,1,-4235750,10_dH,dH_f,2054,CHB_18009,CHB_18009_1
CHB_15713_-2,CHB_15713,-2,-4130352.752,11_dH,dH_f,2055,CHB_15713,CHB_15713_-2
CHB_15713_-1,CHB_15713,-1,-4124076.752,12_dH,dH_f,2056,CHB_15713,CHB_15713_-1
CHB_15713_-4,CHB_15713,-4,-4121942.912,13_dH,dH_f,2057,CHB_15713,CHB_15713_-4
CHB_15713_0,CHB_15713,0,-4116244.304,14_dH,dH_f,2058,CHB_15713,CHB_15713_0
