Ca,Co,IS,K,Keq,Li,Mg,Mn,Na,T,Zn,deltaH,pH,rxn_formula,rxn_id,reference_id
,,0.177599106,0.138794694,0.019,,,,,310.15,,,7,CHB_16750 + CHB_26078 = CHB_16235 + CHB_35425,Keq_1289,61YAM
,,0.050484835,,1.90333,,,,,303.15,,,6.5,CHB_15539 + CHB_16452 = CHB_15361 + CHB_16625,Keq_1288,61WOO/STJ
,,0.25,,3.6,,,,,298.15,,,7.5,CHB_15377 + CHB_21557 = CHB_16643 + CHB_30089,Keq_2952,80SVE/GAL
,,0.101890818,0.1,0.0007,,,,,298.15,,,5,CHB_15377 + MAN_10089 = CHB_30745 + CHB_64984,Keq_2953,80SVE/MAR
,,0.100118091,0.1,0.006,,,,,298.15,,,4.5,CHB_15377 + CHB_28971 = CHB_16705 + CHB_44962,Keq_2954,80SVE/MAR
,,0.100048958,0.1,0.013,,,,,298.15,,,5,CHB_15377 + CHB_28971 = CHB_16705 + CHB_44962,Keq_2955,80SVE/MAR
,,0.100615963,0.1,0.044,,,,,298.15,,,5.8,CHB_15377 + CHB_3534 = CHB_44962 + CHB_64984,Keq_2956,80SVE/MAR
,,0.100178022,0.1,0.015,,,,,298.15,,,5,CHB_15377 + CHB_3537 = CHB_45807 + MAN_10122,Keq_2957,80SVE/MAR
,,0.25,,0.005,,,,,303.15,,,7,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_1979,71CHE/ALI
,,0.25,,0.004,,,,,303.15,,,7,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_1978,71CHE/ALI
,,0.445318173,0.4,5.28,,0.008,,,307.5,,,7.5,CHB_17835 = CHB_15377 + CHB_18021,Keq_954,57WOL/BAL
,,0.2,,0.0111,,,,,277.8,,,9.05,CHB_18009 + CHB_30633 = CHB_16474 + CHB_30912,Keq_3915,91SRI/NAM
,,0.094888578,0.0687,0.0086,,,,,303.15,,,9.2,CHB_13705 + CHB_15380 = CHB_15345 + CHB_30031,Keq_855,56STE/COO
,,0.25,,0.015,,,,,303.15,,,7,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_1973,71CHE/ALI
,,0.25,,0.01,,,,,303.15,,,7,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_1972,71CHE/ALI
,,0.25,,0.004,,,,,303.15,,,7,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_1971,71CHE/ALI
,,0.25,,0.003,,,,,303.15,,,7,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_1970,71CHE/ALI
,,0.25,,0.009,,,,,303.15,,,7,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_1977,71CHE/ALI
,,0.25,,0.012,,,,,303.15,,,7,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_1976,71CHE/ALI
,,0.25,,0.005,,,,,303.15,,,7,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_1975,71CHE/ALI
,,0.25,,0.025,,,,,303.15,,,7,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_1974,71CHE/ALI
,,0.092,,,,,,,298.19,,-71.4,8.69,CHB_15422 + CHB_4167 = CHB_16761 + CHB_4170,deltaH_359,75GOL
,,0.078,,,,,,,298.19,,-71.3,8.68,CHB_15422 + CHB_4167 = CHB_16761 + CHB_4170,deltaH_358,75GOL
,,0.141059033,,0.084,,,,,298.15,,,7.2,CHB_15846 + CHB_16899 = CHB_16908 + CHB_37721,Keq_1356,63MAR/BAR
,,0.1,,,,,,,298.19,,-63,8.61,CHB_15422 + CHB_37721 = CHB_16761 + CHB_61553,deltaH_351,75GOL
,,0.098,,,,,,,298.19,,-61.9,8.63,CHB_15422 + CHB_37721 = CHB_16761 + CHB_61553,deltaH_350,75GOL
,,0.12,,,,,,,301.66,,-63,8.63,CHB_15422 + CHB_37721 = CHB_16761 + CHB_61553,deltaH_353,75GOL
,,0.12,,,,,,,305.11,,-63.1,8.61,CHB_15422 + CHB_37721 = CHB_16761 + CHB_61553,deltaH_352,75GOL
,,0.019,,,,,,,298.19,,-68.4,8.65,CHB_15422 + CHB_4167 = CHB_16761 + CHB_4170,deltaH_355,75GOL
,,0.018,,,,,,,298.19,,-73.1,8.66,CHB_15422 + CHB_4167 = CHB_16761 + CHB_4170,deltaH_354,75GOL
,,0.049,,,,,,,298.19,,-71.5,8.67,CHB_15422 + CHB_4167 = CHB_16761 + CHB_4170,deltaH_357,75GOL
,,0.045,,,,,,,298.19,,-69.8,8.71,CHB_15422 + CHB_4167 = CHB_16761 + CHB_4170,deltaH_356,75GOL
,,0.228321242,0.149606295,0.196,,0.002982992,,0.0012,309.15,,,7,CHB_15422 + PBC_2896 = CHB_16761 + PBC_124896,Keq_3739,89LOP/COH
,,0.195607823,0.14940225,0.15,,0.00297862,,0.0012,309.15,,,6.9,CHB_15422 + PBC_2896 = CHB_16761 + PBC_124896,Keq_3738,89LOP/COH
,,0.223814104,0.14940225,0.00405,,0.00297862,,0.0012,309.15,,,6.9,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_3733,89LOP/COH
,,0.2265672,0.149606295,0.00563,,0.002982992,,0.0012,309.15,,,7,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_3732,89LOP/COH
,,0.195996121,0.149768802,0.00554,,0.002986474,,0.0012,309.15,,,7.1,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_3731,89LOP/COH
,,0.197858949,0.149898156,0.0104,,0.002989246,,0.0012,309.15,,,7.2,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_3730,89LOP/COH
,,0.195907954,0.14940225,0.156,,0.00297862,,0.0012,309.15,,,6.9,CHB_15422 + PBC_2896 = CHB_16761 + PBC_124896,Keq_3737,89LOP/COH
,,0.192680223,0.148825237,0.077,,0.002966255,,0.0012,309.15,,,6.7,CHB_15422 + PBC_2896 = CHB_16761 + PBC_124896,Keq_3736,89LOP/COH
,,0.19551149,0.149606295,0.167,,0.002982992,,0.0012,309.15,,,7,CHB_15422 + PBC_2896 = CHB_16761 + PBC_124896,Keq_3735,89LOP/COH
,,0.195183553,0.14940225,0.14,,0.00297862,,0.0012,309.15,,,6.9,CHB_15422 + PBC_2896 = CHB_16761 + PBC_124896,Keq_3734,89LOP/COH
,,0.47250493,0.4,3.78,,0.008,,,298.15,,,6.43,CHB_17835 = CHB_15377 + CHB_18021,Keq_973,57WOL/BAL
